Game,Similar1,Score1,Similar2,Score2,Similar3,Score3
Sengoku Hime 2 Arashi: Hyakubana Senran Tatsukaze no Gotoku,Moe Moe 2-Ji Daisenryaku 2,1.0,Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,0.9966709747919005,Nobunaga no Yabou: Soutensoku with Power-Up Kit,0.7409236865890303
Myself; Yourself,Mystereet,0.9956328059188568,Koihime Musou,0.9931079498227178,Sengoku Hime: Senran ni Mau Otometachi,0.9831106502919267
Kurogane Kaikitan,Shitsuji ga Aruji o Erabu Toki,0.82866240649641,Shin Hayarigami 2,0.82866240649641,Wand of Fortune R,0.82866240649641
Starry ? Sky: After Autumn,Starry ? Sky: After Spring,0.9849199679425422,Princess Arthur,0.7602440318900165,Starry ? Sky: After Summer,0.7595289068153331
Dokuro,Irotoridori no Sekai: World's End Re-Birth,0.7787893865440513,"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",0.7787893865440513,Norn + Nonette: Last Era,0.7787893865440513
Slide Adventure: Mag Kid,Project Hacker: Kakusei,0.9826563938361799,Naruto Shippuden: Ninja Council 4,0.9725612259051282,The Wild West,0.7083833998929354
Smuggler's Run,Midnight Club: Street Racing,0.9558117932012761,Driven,0.7552471670055289,Hot Wheels: Burnin' Rubber,0.7533267415803535
The Humans: Meet the Ancestors!,Professor Heinz Wolff's Gravity,0.9957577307935304,Line Rider 2: Unbound,0.994766743084795,Silly Bandz: Play The Craze,0.9933367076960296
Chaos;Head Noah,Hanasaku Manimani,0.9999999999999998,Robotics;Notes,0.9998955064703787,Kadenz fermata//Akkord:fortissimo,0.9998955064703787
Battlestations: Midway,Battlestations: Pacific,0.9831972434801897,Imperial Glory,0.9820191892023749,Commandos 3: Destination Berlin,0.9342937826907249
Farming Simulator 15 Expansion Pack,TrackMania Turbo,0.8287817124617785,The Technomancer,0.8287817124617785,Resident Evil Zero,0.8285513162066532
Jan Sangoku Musou,Jan Sangoku Musou,1.0000000000000002,Rakushou! Pachi-Slot Sengen 5: Rio Paradise,0.9949821246719341,Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis,0.9621187131967088
Assetto Corsa,Sébastien Loeb Rally Evo,0.8379070380850054,NASCAR Heat Evolution,0.8377117235284741,Valentino Rossi: The Game,0.8376800446284809
Kono Aozora ni Yakusoku o: Melody of the Sun and Sea,Sugar + Spice! Anoko no Suteki na Nanimokamo,0.9957203663980189,Aria: The Origination ~Aoi Wakusei no El Cielo~,0.9955317362787719,Koisuru Otome to Shugo no Tate: The Shield of AIGIS,0.9955317362787719
Monster Bomber,Monster Bomber,1.0,The Professor's Brain Trainer: Logic,0.9956575898653044,O.M.G. 26 - Our Mini Games,0.9956070587251366
Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis,Rakushou! Pachi-Slot Sengen 5: Rio Paradise,0.98280725761983,Jan Sangoku Musou,0.9621187131967088,Rakushou! Pachi-Slot Sengen 4,0.9621187131967088
Fatal Fury: Battle Archives Volume 1 (JP sales),The King of Fighters Collection: The Orochi Saga (JP sales),0.9998440877400996,Fatal Fury: Battle Archives Volume 1,0.9996529494396924,The King of Fighters 2006,0.9972280422941685
CT Special Forces 2: Back in the Trenches,AirForce Delta Storm,0.7385821119818409,CT Special Forces,0.7384124192063901,Silent Scope,0.7384124192063901
Kamaitachi no Yoru 2: Tokubetsu Hen,Machi: Unmei no Kousaten,0.9998440877400996,Myst,0.7075890503353038,Snoopy vs the Red Baron,0.7058922921647308
The Chronicles of Riddick: Assault on Dark Athena,TimeShift,0.9833062451021075,F.E.A.R. Perseus Mandate,0.9833062451021075,SWAT 4,0.9325814933309631
The Ultimate Battle of the Sexes,Dance! It's Your Stage,0.963976519575148,We Sing 80s,0.741695608220749,TV Total Events,0.7409580986828161
Root Double: Before Crime After Days,The Peanuts Movie: Snoopy's Grand Adventure,0.7780386836517563,Rugby League Live 3,0.7775367599802493,Kung Fu Panda: Showdown of Legendary Legends,0.7775367599802493
War for the Overworld,Men of War: Vietnam,0.9637243208538465,Worms: Ultimate Mayhem,0.9636579894749593,STORM: Frontline Nation,0.9633903044661051
TimeShift,TimeShift,1.0,The Chronicles of Riddick: Assault on Dark Athena,0.9833062451021075,SWAT 4,0.9823855178049792
ef - a fairy tale of the two.,Princess Saver! Eternal Love for My Lady,0.9998593767960446,Sangoku Koi Senki: Otome no Heihou!,0.7416873719483619,Moujuutsukai to Oujisama: Snow Bride,0.7409236865890303
The Train Giant,War for the Overworld,0.7789683481495372,Act of Aggression,0.7789683481495372,Civilization Beyond Earth: Rising Tide,0.7772607182318136
Sangoku Koi Senki: Omoide Gaeshi - CS Edition,Amatsumi Sora ni! Kumo no Hatate ni,0.9985005810759904,Grisaia no Meikyuu: Le Labyrinthe de la Grisaia,0.9935659409857159,Grisaia no Rakuen: Le Eden de la Grisaia,0.9935659409857159
FairlyLife: MiracleDays,Umineko no Naku Koro ni Portable 1,0.7416873719483619,Shinigami to Shoujo,0.7416873719483619,"Iza, Shutsujin! Koisen",0.7416873719483619
Surf's Up,Imagine Figure Skater (JP sales),0.7083833998929354,Surf's Up,0.7075706534117299,Real Soccer 2008,0.7075706534117299
Jambo! Safari Animal Rescue,Yume Neko DS,0.9953909083042581,Wedding Planner: Dream Weddings Guaranteed,0.7269425359940189,Pet Shop Monogatari DS 2,0.7266931781552709
Death Connection Portable,Moujuutsukai to Oujisama Portable,0.9998677377556069,Are You Alice?,0.9998677377556069,Gekka Ryouran Romance,0.9998677377556069
Rainbow Islands: Revolution,Pilot Academy,0.7062373050819103,Rengoku II: The Stairway to H.E.A.V.E.N. (jp sales),0.7059709541856065,Rengoku II:  The Stairway To H.E.A.V.E.N.,0.7059341344401544
Legend of Kay Anniversary,Legend of Kay,0.9997952899438965,The Book of Unwritten Tales 2,0.8287817124617785,Terraria,0.8284007833306364
Rakushou! Pachi-Slot Sengen 4,Jan Sangoku Musou,1.0000000000000002,Rakushou! Pachi-Slot Sengen 5: Rio Paradise,0.9949821246719341,Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis,0.9621187131967088
